企业名称,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,初级分类,学历要求_排序,要求经验_排序,平均月薪,薪资浮动,薪资等级,企业规模,行业类型,年终奖估算
北京东远润兴科技有限公司,FPGA开发工程师,成都,19000.0,30000.0,岗位职责：1、根据FPGA系统方案，编写逻辑模块的详细设计方案；2、按照公司编码规范，开发逻辑模块代码；3、编写仿真脚本，对模块进行仿真验证，并输出仿真报告；4、建立FPGA工程，编写约束文件，对模块代码进行集成，并编译；5、搭建调试环境，对模块进行调试，并记录调试过程；6、配合系统工程师完成项目中FPGA相关工作；7、掌握项目设备的工作原理和使用方法；8、对现有产品的模块进行维护和修改；9、需要国内短期出差，支持与客户的对接测试工作。 岗位要求：1、精通Verilog语言、掌握Modelsim使用、了解至少两种FPGA器件（Virtex7、Kintex7、ZYNQ、Ultrascale+ Kintex）的内部结构；2、掌握数字电路原理，了解FPGA开发流程，了解同步电路时序分析概念；3、熟练掌握Xilinx 烧录器的使用，掌握ILA、VIO等常用调试方法；4、熟练掌握Vivado的使用；5、熟练掌握PCIE、DDR3、RapdIO（XILINX环境）等接口协议的开发与调试；6、有阅读理解芯片（主要为AD、DA、时钟芯片）英文手册的能力；7、有PCIE、Jesd204B、RapdIO、DDR3、Aurora、40GE、XGE、GE接口调试经验者优先考虑。    更多数据：www.macrodatas.cn,本科,5-10年,全职,电子/半导体/集成电路,5,3,24500.0,11000.0,20K-30K,大中型企业,电子硬件,5500.0
山东华鉴工程检测有限公司,Java开发工程师,济南,8000.0,10000.0,岗位概述：负责在线监测系统方案编制、系统建设与维护；负责相关技术文档的编写和维护；按照要求对大数据库进行数据的提取、汇总、分析；负责通讯、传输线路的连接及检查，监测软件的安装和配置，完成整个监测系统的检查和调试，满足运行要求；熟悉结构在线监测或物联网技术，与软件编程单位进行技术对接。岗位职责：在业务人员指导下定期完成相关工作；能独立处理和解决所负责的任务；根据开发进度和任务分配完成相应模块的软件开发编程任务；进行程序单元、功能的测试，保证开发质量；进行编制项目文档和质量记录的工作；熟悉Linux常用命令，运行维护所在项目；专业要求：计算机、软件工程相关专业 教育背景：本科及以上 工作经历要求：有相关经验者,本科,1-3年,全职,检测/认证,5,1,9000.0,2000.0,8K-12K,大中型企业,专业服务,1000.0
惠州亿纬锂能股份有限公司,产品经理（动力电池研究院）,惠州,16000.0,25000.0,"岗位职责:
1. 根据客户要求/部门规划等，按公司设计开发流程组织人员进行产品开发，协调开发资源等；
2. 根据客户要求/部门技术规范等带领团队进行产品方案设计；
3.根据客户要求/部门技术规范等带领团队设计制作电芯样品；
4. 根据客户要求/部门规范/行业标准等带领团队制定产品测试大纲、测试计划；
5. 带领团队执行样品各阶段测试及数据处理等测试验证工作；
6. 主导协调解决产品研发相关技术问题与风险，实现产品开发技术目标； 
任职要求:
1、3-4年以上锂电池（小圆柱18650）设计开发经验
2、了解IATF16949设计开发流程
3、能熟练运用FTA等工具进行失效分析
4、英语口语流利，可直接对接国外客户进行沟通",硕士,3-5年,全职,新能源,6,2,20500.0,9000.0,20K-30K,大中型企业,能源化工,4500.0
惠州亿纬锂能股份有限公司,电芯结构开发工程师（动力电池研究院）,惠州,10000.0,20000.0,"岗位职责:
1.负责电芯结构（封装、卷芯、电连接、绝缘等）设计开发，满足产品开发要求。
2.负责结构件（冲压件、注塑件等）设计开发和技术研究，优化技术路线和提升供应质量。
3.know-how研究，储备创新结构等共性技术。
4.电芯结构、结构件数据库搭建。 
任职要求:
1、有锂离子电池结构、结构件设计开发、或者工艺、工程开发相关经验者优先。
2、熟练使用常用办公软件、数据分析软件。
3、具体独立绘图能力，如CAD、3D软件、相关应用软件。",本科,1-3年,全职,新能源,5,1,15000.0,10000.0,12K-20K,大中型企业,能源化工,5000.0
北京华安中泰检测技术有限公司,软件测试工程师,北京,10000.0,20000.0,"岗位要求∶ 1.负责嵌入式软件测试，包含文档审查、静态分析、代码审查、单元测试和动态黑盒测试等； 2.熟练掌握Testbed、C++Test等软件测试工具，进行静态分析或单元测试； 3.具有良好的C++和C语言编程能力或阅读代码能力； 4.编写测试大纲、测试报告，编写测试工作相关输出文档；4.搭建测试环境，编写测试用例并执行测试用例，提交软件问题报告单； 5.跟踪bug状态，执行回归测试； 6.计算机、软件工程、自动化、电子通信、数学及相关专业，本科及以上学历7.具备良好文档编写能力8.具有嵌入式软件测试经验者优先考虑；9.具有军品软件测评项目工作经验。
职位福利：五险一金、绩效奖金、带薪年假、餐补、出差补贴",本科,1-3年,全职,检测/认证,5,1,15000.0,10000.0,12K-20K,大中型企业,专业服务,5000.0
北京华铁信息技术有限公司,技术支持工程师,哈尔滨,5000.0,10000.0,岗位职责：1. 承担管辖铁路局内的公司列控产品的维护，并为产品售后提供7*24小时技术服务；2. 负责处理客户的各类投诉，反馈回公司内部并负责跟踪最后处理结果，并将最终处理结果反馈给客户；3. 负责收集、接收和受理铁路局管内的客户对公司产品的咨询和意见，并向相关部门反馈；4. 参加动车组主机厂新造动车组ATP的安装调试；5. 总结工程项目的实施经验，出现问题及时汇总反馈，编写相应部分的用户维护手册。6. 根据公司制定的质量/安全方针和目标，分解、实施并进行考核，确保工程项目的有序高效执行。7. 通过为客户提供优质的工程服务，与客户建立良好的关系。任职要求：1. 本科以上学历，轨道交通、自动化、计算机、电子等相关专业；2. 具有1至3年工作经验，有铁路信号工作经验者优先；3. 熟悉铁路信号系统业务技术规范；4. 熟悉轨道交通行业知识、技能及项目管理过程；5. 工作地点：哈尔滨,本科,1-3年,全职,客运服务,5,1,7500.0,5000.0,5K-8K,大中型企业,物流交通,2500.0
康龙化成,IT运维工程师,宁波,6000.0,8000.0,岗位职责:1、 负责公司计算机，打印机，网络，电话交换机、常用软件安装及技术支持；2、负责网络设备的配置，以确保业务部门能正常开展工作；3、对日常运维过程中出现的问题进行管理和优先级排序，并能提供解决方案；4、计算机化系统管理：根据SOP或指导文档要求，对用户域账号及实验室软件账号进行新建，变更权限，禁用，删除等操作；5、负责重要仪器数据的备份，并且定期进行恢复还原测试；6、负责办公及实验室数据备份，协助外部供应商完成IT或其他IT项目的实施；7、承接团队或部门负责人交办的IT专项工作； 任职要求:1、本科及以上学历，计算机相关专业，两年以上工作经验；2、熟悉华为和思科设备原理及配置，能对路由器、交换机、防火墙根据需求进行配置；3、熟悉桌面和服务器操作系统及相关的系统软件，具备对常用服务器、NAS存储设备、网络设备、虚拟化软件和防火墙故障诊断和处理能力；4、 服务意识强，有责任心，积极主动。,本科,1-3年,全职,医药制造,5,1,7000.0,2000.0,5K-8K,其他,医药健康,1000.0
晓星化工(嘉兴)有限公司,技术支持,嘉兴,6000.0,7000.0,"岗位内容及要求：  1、产品技术支持，客户维护；  2、定期聚氨酯行业市场调查，确认行业动态；  3、具备化工类专业知识，英语良好。  
     （来源 马克数据网）",本科,1-3年,校园,化学原料/化学制品,5,1,6500.0,1000.0,5K-8K,大中型企业,制造业,500.0
新大陆软件,软件开发高级工程师（Java）,福州,15000.0,20000.0,岗位职责：通讯行业支撑/应用系统软件开发。岗位要求：1、5年以上工作经验，有运营商行业软件经验优先；2、精通java、jsp、jquery开发，熟悉Hadoop及周边软件系统3、熟悉oracle数据库及sql语句编写，有sql语句优化经验和oracle数据库常用管理经验；4、熟悉Tomcat或者Weblogic服务器的安装部署和性能优化；5、熟悉unix和linux的常用操作命令；6、熟悉Coherence、ORACLE-OSB、IBM-WebSphere、IBM-Message Broker中2个以上者优先；7、有较强沟通能力及文字表达能力；8、工作认真细致，自学能力强，具有很强的责任心及良好的执行力；9、具有高度的责任感和团队合作精神。,本科,5-10年,全职,计算机软件,5,3,17500.0,5000.0,12K-20K,其他,IT互联网,2500.0
长春蓝星网络科技发展有限公司,售前网络工程师,长春,8000.0,12000.0,"本公司为华为代理，主要经营交换机、路由器和防火墙以及无线产品。现对售前工程师诚聘要求如下：
1、要求对华为、深信服等目前市场主流数通，安全产品熟知（具有相关认证证书的优先考虑）；2、要求具备良好的沟通能力，具有相关工作经验的优先考虑。（可接受网络工程方向专业的优秀应届毕业生）3、精通网络及网络安全知识，可熟练进行局域网的搭建和网络设备的基本维护和故障处理技术岗位职责：4、负责项目开局指导、技术支持、项目跟踪及项目验收；5、性格坚韧，思维敏捷，具备良好的应变能力和承压能力，能够快速定位到网络问题所在；
6、维护老客户的解决网络设备问题的需求，给予技术支持，挖掘客户的较大潜力；7、定期与合作客户进行沟通，建立良好的长期合作关系。8、负责华为或者华三产品线用户需求规划、选型、设计、报价及方案制定工作。
9、负责华为或者华三产品线的解决方案讲解以及渠道培训工作。
10、能熟练使用文本和图形编辑器进行方案、标书的编写以及PPT的制作。
11、做事踏实细致、工作敬业，吃苦耐劳、有责任心。
12、要求有华三或者华为证书。
13、要求有工作经验，如工作经验丰富者，薪资待遇可面议。",大专,1-3年,全职,IT服务,4,1,10000.0,4000.0,8K-12K,大中型企业,IT互联网,2000.0
海南海圣科技有限公司,网络运维工程师,三亚,5000.0,7000.0,"岗位职责与要求：
1.学历要求：大专及以上，计算机网络相关专业；
2.具备一年以上大中型企业运维工作优先，熟悉房地产行业或商业优先；
3.熟悉宝利通、华为、易视讯、Maxhub等视频会议、平板系统；
4.掌握华为、华三、深信服及其他常见厂商设备基础配置、操作，可以定位和排查网络故障；
5.具备桌面维护能力，打印机连接、操作系统维护或重装等；
6.沟通协调（驻场负责客户现场的需求沟通、整理客户需求与信息中心对接，建立稳定的客情关系）；
7.行政能力突出者优先。",大专,1-3年,全职,IT服务,4,1,6000.0,2000.0,5K-8K,大中型企业,IT互联网,1000.0
天津盈信安信息科技有限公司,网络安全运维工程师,天津,6000.0,12000.0,"1、负责网络安全设备安装调试及售后服务； 
2、与客户建立和保持良好关系，及时提出解决问题的方法，并为客户提供培训和技术咨询； 
3、了解网络安全或虚拟化产品相关解决方案以及应用场景； 

任职要求：1、具有正规院校计算机或相关专业的本科以上学历，一年以上网络工程师工作经验优先； 
2、精通路由交换相关知识，具有主流品牌相关网络技术资格证书优先；3、具有相关工作经历优先4、身体健康、敬业勤奋、诚实协作、责任心强；
5、良好的服务意识、团队合作意识，高度的责任感和使命感。
福利待遇：双休，国家法定节假日休息，六险一金，公司旅游，年底双薪，交通补助，餐补，通讯补助，每年体检，员工旅游，节日福利，提供岗前培训及出差原厂培训机会",本科,1-3年,全职,计算机硬件,5,1,9000.0,6000.0,8K-12K,大中型企业,IT互联网,3000.0
惠州亿纬锂能股份有限公司,产品开发工程师（动力电池研究院）,惠州,12000.0,20000.0,"岗位职责:
1. 根据客户要求/部门规划等，按公司设计开发流程进行产品开发；
2. 根据客户要求/部门技术规范等进行产品方案设计及验证；
3.根据客户要求/部门技术规范等设计制作电芯样品；
4. 根据客户要求/部门规范/行业标准等制定产品测试大纲、测试计划；
5. 执行样品各阶段测试及数据处理等测试验证工作；
6. 协调解决产品研发相关技术问题与风险，实现产品开发技术目标； 
任职要求:
1、1-2年以上锂电池设计开发经验。
2、了解IATF16949设计开发流程。
3、能熟练运用FTA等工具进行失效分析。",硕士,经验不限,全职,新能源,6,5,16000.0,8000.0,12K-20K,大中型企业,能源化工,4000.0
湖南艾科诺维科技有限公司,硬件测试工程师,长沙,5000.0,10000.0,职位描述（可接受优秀应届生）： 1、 负责产品测试工作，如功能模块测试、集成测试、EMC测试、可靠性测试等，确保研发过程质量； 2、 根据产品需求和测试要求，制定测试计划、测试大纲、测试报告或测试反馈等文档； 3、 负责新产品试制工作，包括单板调试、整机装配、工艺验证、系统测试等； 4、 负责新产品生产导入工作，制定生产工程文档，如生产作业指导书、检验规范等； 5、 负责新物料质量验证测试工作； 6、 负责测试阶段产品质量的跟踪、反馈，协助测试并予以解决； 7、 负责对新品投产后的物料检验、生产、质量过程进行技术指导； 8、 负责产品的售后服务技术支持工作 （需要适应短时间出差）。 职位要求： 1、 电子、通信、计算机等相关大专以上学历； 2、 2年以上产品测试工作经验者优先； 3、 熟悉基本的数字电路及模拟电路原理； 4、 熟练掌握硬件测试原理和方法，能熟练搭建测试平台、熟练运用多种测试工具，如万用表、示波器、频谱仪等； 5、 了解软件测试流程，能编写测试计划、测试用例和测试报告； 6、 熟悉军用标准; 7、 熟练掌握常用的电脑办公软件（如OFFICE、CAD、PS等）； 8、 良好的沟通、分析判断及组织协调能力，执行力强。    来自：www.macrodatas.cn,大专,1-3年,全职,通信/网络设备,4,1,7500.0,5000.0,5K-8K,大中型企业,电子硬件,2500.0
湖南艾科诺维科技有限公司,FPGA工程师,长沙,10000.0,20000.0,"岗位职责：
1、负责FPGA代码编写、模块设计及仿真、调试；
2、进行系统的功能定义，系统功能分解，编写逻辑需求分析，概要设计工作，核心算法实现等；
3、FPGA的资源及时序优化，分析并解决开发过程中的问题；
4、配合软、硬件设计人员完成相关任务目标；
5、完成方案文档、项目文档、质量记录及相关文档；
6、有Altera/Xilinx系列FPGA芯片开发经验，熟悉ISE（Vivado）/Quartus II等EDA软件，熟练掌握Verilog/VHDL语言；
7、熟悉以太网、DDR、PCI/PCIE等接口协议。
任职要求：
1、本科及以上学历，通信、电子、自动化、计算机等相关专业优先，无专业限制（可接受优秀应届毕业生）； 2、从事嵌入式开发工作3年以上的工作经验； 
3、从事过Xilinx、Altera等主流FPGA的开发，熟悉FPGA的编程，掌握Verilog或VHDL，能独立完成FPGA逻辑代码编写、仿真、调试； 
4、掌握CameraLink、VGA、HDMI等图像传输接口优先，熟悉以太网、PCIE、DDR3、SRIO、光纤通信等高速信号接口控制及协议优先； 
5、具备较强的团队协作能力、沟通能力、责任意识及上进心。",本科,3-5年,全职,通信/网络设备,5,2,15000.0,10000.0,12K-20K,大中型企业,电子硬件,5000.0
浙江方大通信有限公司,销售经理（信息化、教育行业）,杭州,10000.0,20000.0,岗位职责      1、根据区域市场发展和公司的战略规划，开拓相应区域里的新客户，维护老客户，反馈客户的意见和建议，推进客户关系；      2、负责区域内市场商机的挖掘，做好和内部相关部门的沟通，评估商机；      3、跟踪销售机会，理清客户需求，分析竞争对手，依据邀标文件、客户需求，组织招标工作、商务谈判、合同订立等；      4、利用客户关系，配合技术部门合理安排实施资源，对合同执行过程中出现的问题，及时和客户做好沟通，协助技术部门做好客户满意度调查；      5、广泛发展业内合作伙伴，以及进行市场宣传。      岗位要求：      1、大专及以上学历，通信或物联网相关专业优先；      2、两年以上信息化产品（软件、硬件）销售经验，有数字乡村相关经验优先；      3、熟悉软件行业销售者优先，有相关软件技术背景者优先；      4、熟练撑握营销技巧，有很强的沟通能力及和商务谈判能力，积极思考；      5、工作认真、严谨，有责任感及敬业精神，能够承受一定的工作压力，积极进取；      6、有toG工作经验/客情资源优先。,大专,3-5年,全职,IT服务,4,2,15000.0,10000.0,12K-20K,大中型企业,IT互联网,5000.0
湖南光华防务科技集团有限公司,软件测试工程师,长沙,7000.0,14000.0,"一、工作内容： 1、嵌入式软件静态分析、系统测试； 2、测试需求分析、测试用例设计、测试报告编写； 
 二、招聘条件 1、本科及以上学历，相关专业，一年以上相关工作经验；  2、具备基本的软件开发能力；  3、熟练掌握C语言； 4、身体健康，无不良记录。 
 三、工作地点： 长沙市麓谷企业广场",本科,1-3年,全职,船舶/航空/航天/火车制造,5,1,10500.0,7000.0,8K-12K,大中型企业,制造业,3500.0
北京马赫天诚科技有限公司,软件实施工程师—信息化,北京,13000.0,15000.0,岗位职责：1、参与公司工业信息化产品的研发，根据业务需求完成详细设计。 2、系统架构设计和实现； 3、系统核心功能代码编写，指导和培训工程师，解决产品研发中遇到的难题；  4、钻研前沿技术，具备技术革新能力。任职资格：1、大专以上文化程度；3年以上java开发经验；有ERP、MES、WMS等产品开发经验优先考虑；具有物联网开发经验者优先考虑；2、精通Java语言，对面向对象有深入理解；3、熟练框架Spring、SpringBoot、SpringCloud、MyBatis、Hibernate等；4、熟悉开源服务器Tomcat、Nginx、Docker等；5、熟悉Javascript、css、Vue、Nodejs等前端技术； 6、工作稳定，能适应短期出差者优先考虑。7、有良好的团队合作和沟通技能，愿意接受挑战性的工作，能承受一定的工作压力； 8、喜欢专研新的技术、有独立探索技术的能力，具有良好的软件工程知识和质量意识。,大专,3-5年,全职,专用设备制造,4,2,14000.0,2000.0,12K-20K,大中型企业,制造业,1000.0
北京马赫天诚科技有限公司,软件实施工程师—上位机,北京,9000.0,11000.0,岗位职责：  1、主要参与公司上位机产品的研发与实施，根据业务需求完成详细设计。  2、系统架构设计和实现；  3、系统核心功能代码编写，指导和培训工程师，解决产品研发中遇到的难题；   4、钻研前沿技术，具备技术革新能力。  任职资格：  1、大专以上文化程度；1年以上java开发经验；有相关工业上位机软件工作经营者优先；    2、精通Java语言，对面向对象有深入理解；  3、熟练框架Spring、SpringBoot、SpringCloud、MyBatis、Hibernate等；  4、熟悉开源服务器Tomcat、Nginx等；  5、熟悉Javascript、css、jsp等前端技术；   6、喜欢专研新的技术、有独立探索技术的能力，具有良好的软件工程知识和质量意识；  7、有良好的团队合作和沟通技能，愿意接受挑战性的工作，能承受一定的工作压力。,大专,1-3年,全职,专用设备制造,4,1,10000.0,2000.0,8K-12K,大中型企业,制造业,1000.0
鼠来宝(武汉)生物科技有限公司,售前技术支持工程师,武汉,7000.0,12000.0,岗位职责：   1、指导销售员或者直接与客户沟通实验服务项目细节；    2、制作项目方案和报价；    3、制作合同并与客户签订合同；    4、提供售前技术支持；    5、给销售和客户提供讲座和培训。  任职资格：   1、基础医学、药学、生物技术等相关专业本科以上学历，硕士优先；    2、有较强的科研思维，会设计课题；    3、对动物实验、细胞实验、分子生物学实验以及病理实验等均有一定了解；    4、有技术支持或SD工作经验优先；    5、吃苦耐劳，有上进心，学习能力强；    6、能否阅读英文文献；    7、一年以上工作经验。,本科,1-3年,全职,生物工程,5,1,9500.0,5000.0,8K-12K,大中型企业,医药健康,2500.0
昇博士,硬件工程师,广州,15000.0,20000.0,"岗位职责：  1、主要负责公司产品的研发设计工作。  
岗位要求：
1、从事过音频设计优先，能独立完成音频功率放大器设计（大小功率数字功放，开关电源）；2、音视频行业3-5年以上工作经验；
2、大专以上学历，电子相关专业毕业，精通模电数电，英语4级；
3、会画板软件：Altium Designer ,Multisim14仿真软件，办公软件。
    来自：www.macrodatas.cn",大专,3-5年,全职,电子/半导体/集成电路,4,2,17500.0,5000.0,12K-20K,其他,电子硬件,2500.0
上海军陶科技股份有限公司,IT工程师,上海,7000.0,10000.0,岗位职责：1.网络维护管理a.监测公司网络系统的运行状态，并进行维护，确保其正常运作，包括路由器、交换机等设备；b.网络拓扑规划及实现c.网络设备管理，建议设备维护文档，包括设备使用情况、升级记录等d.网络安全管理；病毒公告、防御、检测、清楚，网络反病毒软件统一部署、升级，网络防火墙的配置管理；e.网络运行管理；包括网络设备使用规划、配置、升级，网络使用、带宽监测；2.系统维护管理a.硬件方面：负责公司硬件设施（计算机设备、网络设备、其它办公设备等）的安装、调试、维护、故障检测及排除 ；硬件资产登记，使用情况记录。b.软件方面：根据需求规划、安装、配置、管理设备，桌面系统支持，服务器、用户账户密码管理等，包括WMS、OA、ERP、项目管理系统、视频会议、邮件系统、门禁考勤系统的管理维护；3、部门领导交办的其他工作。任职要求：1、计算机相关专业，3年以上相关工作经验；2、具有良好的网络专业知识和工作经验，可以完成对路由器、交换机配置和管理；3、熟悉Windows、Linux系统以及主要服务的安装、配置和维护；4、熟悉企业微信、钉钉等项目实施与管理经验；4、熟练使用outlook、 office等客户端，熟练掌握其按装配置.维护.故障排除过程；5、对虚拟化、云技术、网络安全、终端管理、服务器配置、存储等需有一定的了解；6、了解AD、DNS、Vmware、Exchange、NTFS、数据备份等基础知识7、工作主动性强，有责任心；及时响应客户的需求，有极强的时间观念。,大专,3-5年,全职,电子设备制造,4,2,8500.0,3000.0,8K-12K,大中型企业,制造业,1500.0
新大陆软件,项目管理高级工程师,福州,15000.0,20000.0,岗位职责1、领导项目的计划、组织和控制工作，以实现项目目标；2、确保现场项目工作在预算范围内按时优质地完成，使客户满意；3、负责整个项目干系人（客户、上级领导、团队成员等）之间关系的协调和沟通；4、负责与客户的日常沟通，问题识别，问题收集及分析处理；配合市场人员做好项目的立项、合同的签订、回款等工作；5、严格执行公司对项目管理的规范、对于软件开发项目执行公司制定的统一的软件开发规范；任职要求：1、本科以上学历，计算机、通信工程等相关专业；2、具有8年以上IT类工作经验，其中需有3年以上开发经验，有PMP等相关证书优先；具有运营商项目管理经验，熟悉项目全流程优先；3、有较强沟通能力及文字表达能力；4、工作认真细致，自学能力强，具有很强的责任心及良好的执行力；5、具有高度的责任感和团队合作精神。,本科,5-10年,全职,计算机软件,5,3,17500.0,5000.0,12K-20K,其他,IT互联网,2500.0
软通动力信息技术(集团)股份有限公司,Android安卓开发工程师,武汉,10000.0,18000.0,"车载安卓开发（20名）  荣耀项目 岗位要求：   学历：统招专科     专业：无限制   经验要求：1年车载经验  3年Android app应用层开发； 有安卓车载，就是IVI的应用开发经验，有车机的开发经验，APP的开发经验 
 地点：武汉市蔡甸区车城北路万科翡翠玖玺南侧约150米 
  来自：www.macrodatas.cn",大专,1-3年,全职,互联网,4,1,14000.0,8000.0,12K-20K,大中型企业,IT互联网,4000.0
盛帆电子,设备运维工程师,武汉,5000.0,7000.0,"数据由马 克 团 队整理    。 岗位职责： 1、组织新设备调试安装； 2、制作设备操作规程及点检报表； 3、制作设备年度保养计划并执行； 4、设备台账管理； 5、 设备点检、保养、维修及升级改造     任职要求： 1、具备基础的机电专业知识； 2、良好的动手实操能力、沟通协调能力； 3、积极上进，有责任心 
 在盛帆，我们倡导： ● 同创共享的文化：近半数的员工通过“0成本股权激励”成为公司股东，核心员工全员持股。在这里，我们是命运共同体，你的每一分努力都会得到回报； ● 科学高效的工作：弱化传统考勤管理模式，推行弹性工时，除法定节假日外，另设育儿假、赡养老人假、家属生病护理假、子女假期陪护假等适应各年龄段需求的机动假期10余天。社会进步、公司发展、员工成长、生活幸福的和谐统一是盛帆人的不懈追求； ● 强健精干的体魄：园区各类标准化运动设施齐全，游泳健身场馆、篮球场、羽毛球场、网球场、乒乓球场、足球场、攀岩墙，春秋两季运动会，覆盖全年的专项活动如篮球赛足球赛等，点燃你的运动热情，让你重回积极阳光的少年时代； ● 健康快乐的生活：天然氧吧式园区环境，菜品丰富的智慧食堂，自助式体检套餐，住院医疗补贴，个人心理咨询，家属游园活动，传统节日福利，生日福利，不定期工会慰问福利，更有春秋（出境）旅游活动带你寻找诗和远方； ● 人生大事的助力：10万元购房补贴、10万元婚育礼金及子女抚养补贴、5万元的二孩补贴、10万元三孩补贴等你来挑战，还有不限额的员工帮扶专项、非公借款福利，助力家庭和谐的",大专,1-3年,全职,仪器仪表制造,4,1,6000.0,2000.0,5K-8K,其他,制造业,1000.0
无锡文睿信息科技有限公司,前端开发工程师,无锡,10000.0,13000.0,职位内容： 负责项目部分功能模块及产品前端组件开发等开发 职位要求： 熟练使用git版本管理工具 掌握webpack/vite等构建工具配置和使用 熟练掌握Vue2/3开发框架 熟练掌握typescript开发规范 熟练使用echarts、能够基于echarts开发各种样式图表 有移动端开发经验和可视化三维开发经验优先 性格乐观，能积极面对压力,大专,3-5年,全职,计算机软件,4,2,11500.0,3000.0,8K-12K,大中型企业,IT互联网,1500.0
湖南光华防务科技集团有限公司,导航算法工程师,长沙,12000.0,24000.0,"一、工作内容 1、惯性/卫星组合导航算法设计；  2、导航初始对准算法的设计（自寻北、动基座传递对准、单/双天线自对准等）； 3、多信息融合组合导航算法设计。 
 二、招聘条件 1、导航相关专业硕士研究生以上学历；  2、从事导航相关领域科研工作2年以上；  3、具有良好的沟通能力和团队协作能力； 4、身体健康，无不良记录。 三、工作地点 长沙市岳麓区麓谷企业广场。",硕士,1-3年,全职,船舶/航空/航天/火车制造,6,1,18000.0,12000.0,12K-20K,大中型企业,制造业,6000.0
西安西热电站信息技术有限公司,高级Web前端开发工程师,西安,13000.0,17000.0,"工作内容  1. 公司相关产品的前端开发，主要面向基础、平台、组件类的底座建设;  2. 重点参与前端低代码工具的开发，与前端技术框架的定义;  3. 国企性质，主要从事集团内部工业云建设。  技术要求  1.熟Vue开发，有丰富Vue项目开发经验；  2.熟悉各类Web客户端工具，主流浏览器的开发模式和特性;  3.精通JSP、JavaScript、CSS、HTML、Json等技术，了解Ajax、DOM等前端技术，掌握面向对象编程思想；  4.熟悉常用WEB开发调试工具；  6.熟悉前端框架如jquery,Vue，React，bootstrap等前端技术等;  
  5.有大型Web站点性能问题处理经验者优先;  
  7.有移动端的前端应用开发经验者优先。",本科,5-10年,全职,电力/水利/热力/燃气,5,3,15000.0,4000.0,12K-20K,大中型企业,能源化工,2000.0
嘉兴微方软件技术有限公司,开发实施工程师,嘉兴,8000.0,12000.0,"岗位要求：1、本科以上学历,计算机、软件等相关专业2、软件基础理论知识扎实,具有良好的数据结构、算法功底; 熟悉面向对象编程，了解软件设计模式3、至少熟悉一种关系型数据库(SQL SERVER/ MySql)4、至少熟悉一种以上的开发语言(JAVA/NET)开发框架5、熟悉Javascript、JQuery、Ajax等Web前端开发技术6、为人和善、擅长沟通，具有较强的抗压能力。岗位职责：1，参与项目的需求分析，根据需求文档定义的功能完成功能模块开发；2，负责团队项目的开发,程序的测试与相关文档的编写3，与开发团队一起保质保量的完成开发任务4，完成部门交给的其它任务本公司提供舒适的工作环境，优秀的开发团队，良好的成长学习机会。可考虑年后上班",本科,1-3年,全职,计算机软件,5,1,10000.0,4000.0,8K-12K,大中型企业,IT互联网,2000.0
陕西欧派克仪表集团有限公司,售前售后技术支持工程师,西安,4000.0,6000.0,会机械CAD制图，电气CAD制图，懂DCS和PLC控制及简单的编程，现场仪表指导安装和调试，乐意出差。,大专,3-5年,全职,仪器仪表制造,4,2,5000.0,2000.0,5K-8K,大中型企业,制造业,1000.0
世窗信息股份有限公司,产品经理（政务）,沧州,7000.0,12000.0,"1、根据公司战略规划，把控产品定位，调研分析市场及用户，提出商业计划建议；规划和定义产品、提出产品创新提升意见；
2、能够独立负责产品的交互界面及流程原型设计，撰写产品需求文档；
3、制定产品研发计划，管理产品开发项目，保证产品按计划开发及发布；
4、对产品市场、竞争对手及用户反馈敏感，及时提出分析结果，迅速发现产品存在的问题和提升机会，并迅速完成产品优化提升；
5、负责产品销售工具设计制作和内外部产品宣介工作；
6、负责产品市场活动策划与协同执行，推进达成产品市场推广目标。
 任职资格：1、大学本科以上学历；2、具备软件产品策划、研发和运营的整体经验，有独立完成的成功项目；
3、能够准确把握用户需求，对交互设计、用户体验有浓厚的兴趣、理论基础和实践能力；
4、优秀的逻辑思维能力，产品设计时能预先考虑用户使用中遇到的各种情况，并提供可行的解决方案；
5、优秀的文案功底，出色的文字和口头表达演讲能力，善于沟通，具备优秀的团队合作能力；
6、优秀的项目管理能力，能够带领研发团队完成挑战性目标，具备优秀的合作协调能力；
7、对技术敏感，熟悉云计算、大数据、人工智能、区块链等技术的原理和应用场景；
8、有政府、审计、农业、教育产品策划管理与运营经验者优先。",本科,1-3年,全职,计算机软件,5,1,9500.0,5000.0,8K-12K,大中型企业,IT互联网,2500.0
